Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,Patent number,Month,Year,URL,Number of additional authors,Non-English,Interdisciplinary,Forensic science,Criminology,Propose double weighting,Is reserve output,Research group,Open access status,Citations applicable,Citation count,Cross-referral requested,Supplementary information,Delayed by COVID19,clickable DOI,Pdf number,File,T1 - Communication and Interaction,T2 - Philosophy of Education,T3 - Methodological Depth,T4 - Citizenship and Culture,T5 - Developmental Psychology,T6 - Health and Medicine,T7 - Mathematics,T8 - Gender,T9 - Regional issues and international development,T10 - Psychiatry and Psychopathology,T11 - Non-English Components,T12 - Language and Linguistics,T13 - Technology Enhanced Learning,T14 - Critical and Social Theory,"T15 - History, Religion and Race",T16 - Early Childhood and Families,T17 - Leadership and Management,T18 - New Materialism,T19 - Clinical Psychology and Developmental Disorders,T20 - Claims of Significance,T21 - Sports and Health,T22 - Analysing large-scale data,T23 - Schooling Systems,T24 - Affective Factors,T25 - Children's Social Care,T26 - Education Policy,T27 - Higher Education,T28 - Training and Employment,T29 - Special Educational Needs and Disabilities,T30 - Teacher Education and Professional Development,T31 - Science Education,T32 - Interviews and Focus Groups,T33 - Systematic Reviews and Meta-Analyses,T34 - Cognitive Processing,T35 - Reading,,,
10007158,University of Southampton,C,23,Education,,,,D,"Women principals in South Africa: gender, mothering and leadership",,,British Educational Research Journal,40,1,30,,,0141-1926,,February,2014,,1,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3028,10015,10015,0.0002928730,0.0658715085,0.0367959185,0.0000107249,0.0000114917,0.0078327312,0.0000113870,0.3072146113,0.0407450110,0.0000174309,0.0000058728,0.0000109807,0.0000195894,0.1044414608,0.0027139830,0.0626027162,0.1227410692,0.0000327798,0.0000073277,0.0000189468,0.0000106353,0.0394110966,0.0542590188,0.0000180401,0.0008335974,0.0000493068,0.0000350811,0.0000212549,0.0000099241,0.0078758230,0.0000129593,0.1460251366,0.0000136474,0.0000143461,0.0000117181,,,
10006840,The University of Birmingham,C,23,Education,,,,D,"Paying for Quality? Associations between private school fees, performance and use of resources",,,British Educational Research Journal,40,3,421,,,0141-1926,,June,2014,,1,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3107,10016,10016,0.0000180028,0.0000486198,0.0065877753,0.0000083352,0.0000089311,0.0000086856,0.0000088498,0.0000126507,0.0000147515,0.0000135470,0.0000045643,0.0000085340,0.0000152246,0.0000498575,0.0000131304,0.0019100419,0.0205603596,0.0000254758,0.0000056950,0.0000147251,0.0010563293,0.2955800841,0.4995441117,0.0000140205,0.0000190184,0.0790623231,0.0551554148,0.0297815279,0.0000077128,0.0000421758,0.0000100717,0.0101489772,0.0000106065,0.0002207623,0.0000091071,,,
10004180,Manchester Metropolitan University,C,23,Education,,,,D,The OECD and the expansion of PISA: new global modes of governance in education,,,British Educational Research Journal,40,6,917,,,0141-1926,,December,2014,https://bera-journals.onlinelibrary.wiley.com/doi/full/10.1002/berj.3120,1,,,,,,,7 - Education and Global Futures,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3120,10017,10017,0.0000166198,0.0199763729,0.1274121968,0.0000076949,0.0000082450,0.0000080183,0.0518687414,0.0000116788,0.1372119212,0.0000125062,0.0000042136,0.0000078784,0.0005945837,0.0731926542,0.0000121217,0.0000217198,0.0079507978,0.0052482778,0.0000052575,0.0000135939,0.0002011402,0.0017657011,0.0089355560,0.0207184701,0.0000175574,0.4418177822,0.0000251698,0.0667760602,0.0000071203,0.0039091276,0.0000092980,0.0316229027,0.0000097917,0.0005908218,0.0000084075,,,
10007800,University of the West of Scotland,C,23,Education,,,,D,From self-regulation to learning to learn: observations on the construction of self and learning,,,British Educational Research Journal,41,1,72,,,0141-1926,,February,2015,,1,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3128,10018,10018,0.0137810908,0.2409434166,0.1092949491,0.0000116383,0.0032319489,0.0000121275,0.0049879145,0.0000176640,0.0000205974,0.0000189155,0.0000063730,0.0000119159,0.0541670330,0.1932383267,0.0000183338,0.0105693260,0.0000255677,0.0497911488,0.0000079518,0.0000205605,0.0000115411,0.0000364731,0.0000515978,0.1484082685,0.0000265552,0.0105899814,0.0000380689,0.0003157450,0.0000107693,0.1569352975,0.0000140630,0.0004149469,0.0003074896,0.0026496867,0.0000127162,,,
10007784,University College London,C,23,Education,,,,D,Creativity and Education: comparing the national curricula of the states of the European Union with the United Kingdom.,,,British Educational Research Journal,41,1,30,,,0141-1926,,,2014,,1,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3135,10019,10019,0.0291009438,0.0163949967,0.1514483944,0.0027681147,0.0000090449,0.0000087962,0.0125336340,0.0000128118,0.0237905869,0.0000137195,0.0027642958,0.0000086427,0.0063838955,0.0000504925,0.0042589490,0.0010852397,0.0000185444,0.0303822074,0.0000057675,0.0000149127,0.0000083708,0.0242266668,0.1494843516,0.0008633293,0.0000192607,0.1180679159,0.0002398942,0.0121168356,0.0195378072,0.1959795226,0.1706853841,0.0030606370,0.0000107416,0.0000112915,0.0246340009,,,
10007784,University College London,C,23,Education,,,,D,The socio-economic gradient in children?s reading skills and the role of genetics,,,British Educational Research Journal,41,1,6,,,0141-1926,,April,2014,,3,,Yes,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3143,10020,10020,0.0000163664,0.0049987496,0.0683019516,0.0000075775,0.0000081193,0.0000078961,0.0000080453,0.0000115008,0.0000134106,0.2833744207,0.0000041494,0.0000077583,0.0000138407,0.0000453256,0.0000119369,0.0408011402,0.0000166467,0.0000231602,0.0000051773,0.0000133867,0.0000075142,0.3941009719,0.0390983098,0.0000127461,0.0000172897,0.0000348372,0.0000247861,0.0047790071,0.0000070117,0.0000383421,0.0074409801,0.0010324042,0.0000096424,0.0000101361,0.1556954615,,,
10007788,University of Cambridge,C,23,Education,,,,D,The socio-economic gradient in children's reading skills and the role of genetics,,,British Educational Research Journal,41,1,6,,,0141-1926,,April,2014,,3,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3143,10021,10021,0.0000163664,0.0059515476,0.0629662832,0.0000075775,0.0000081193,0.0000078961,0.0000080453,0.0000115008,0.0000134106,0.2866139337,0.0001947090,0.0000077583,0.0000138407,0.0000453256,0.0000119369,0.0434689744,0.0000166467,0.0000231602,0.0000051773,0.0000133867,0.0000075142,0.3756166921,0.0505318850,0.0000127461,0.0000172897,0.0015593138,0.0000247861,0.0019206133,0.0000070117,0.0000383421,0.0066787417,0.0012229638,0.0000096424,0.0000101361,0.1629367258,,,
10007784,University College London,C,23,Education,,,,D,Worlds apart? The nature and quality of the educational experiences of pupils with a statement for special educational needs in mainstream primary schools,,,British Educational Research Journal,41,2,324,,,0141-1926,,April,2014,,1,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3144,10022,10022,0.0201438409,0.0030470686,0.1150637033,0.0000085136,0.0000091223,0.0000088715,0.0000090392,0.0000129215,0.0000150673,0.0000138370,0.0000046620,0.0000087167,0.0000155505,0.0054034389,0.0000134115,0.0002381315,0.0092250273,0.0000260213,0.0000058169,0.0000150404,0.0004366436,0.0032381891,0.2858619923,0.0002284212,0.0000194256,0.0122428727,0.0013124514,0.0000168726,0.2237429631,0.0938191240,0.0000102873,0.2156887044,0.0100735599,0.0000113882,0.0000093021,,,
10007784,University College London,C,23,Education,,,,D,Students' intentions to study non-compulsory mathematics: the importance of how good you think you are,,,BRITISH EDUCATIONAL RESEARCH JOURNAL,41,3,462,,,0141-1926,,July,2014,,2,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3150,10023,10023,0.0000147781,0.0000399109,0.0482523529,0.0000068422,0.0000073314,0.0000071298,0.1237231657,0.0213466458,0.0000121092,0.0000111204,0.0000037467,0.0000070054,0.0000124975,0.0000409269,0.0000107785,0.0000193130,0.0000150312,0.0000209126,0.0000046749,0.0000120875,0.0000067850,0.1135854130,0.1523092947,0.4983164461,0.0000156118,0.0000314564,0.0058726459,0.0031107592,0.0000063313,0.0020994206,0.0108484648,0.0000718808,0.0201405014,0.0000091524,0.0000074758,,,
10007814,Cardiff University / Prifysgol Caerdydd,C,23,Education,,,,D,The unintended consequences of targeting: young people's lived experiences of social and emotional learning interventions,,,British Educational Research Journal,41,3,381,,,0141-1926,,June,2014,http://dx.doi.org/10.1002/berj.3155,2,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3155,10024,10024,0.0000190870,0.0127190524,0.0316528300,0.0000088372,0.0017873644,0.0000092086,0.0000093828,0.0037914402,0.0000156399,0.1400236220,0.0000048391,0.0000090480,0.0000161415,0.1398398824,0.0000139212,0.0000249442,0.0000194140,0.0071385916,0.0002282749,0.0000156120,0.0000087634,0.0000276946,0.1196026417,0.0009038125,0.0775808487,0.0233755048,0.0275862844,0.0000175138,0.0128979186,0.0180459063,0.0000106783,0.2087733067,0.1738005162,0.0000118210,0.0000096556,,,
10007143,University of Durham,C,23,Education,,,,D,An Evaluation of the ‘Switch-on Reading’ Literacy Catch-up Programme,,,British Educational Research Journal,41,4,596,,,01411926,,,2014,https://doi.org/10.1002/berj.3157,2,,,,,,,"A - Assessment, Evaluation and Educational Effectiveness",Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3157,10025,10025,0.0000215054,0.0015604444,0.0947562630,0.0000099569,0.0015130341,0.0000103754,0.0000105715,0.0000151120,0.0000176215,0.0000161826,0.0000054523,0.0000101943,0.0000181866,0.0003099518,0.0000156850,0.0000281046,0.0000218737,0.0027847687,0.0022603510,0.0000175900,0.0000098737,0.0228170776,0.3035219383,0.0000167482,0.0000227186,0.0200773135,0.0000325688,0.0000197328,0.0000092134,0.0085637848,0.0017647907,0.1858971138,0.2065879020,0.0010148956,0.1462411037,,,
10007163,The University of Warwick,C,23,Education,,,,D,"What makes a successful undergraduate? The relationship between student characteristics, degree subject and academic success at university",,Routledge,British Educational Research Journal,41,4,686,,,0141-1926,,September,2014,,1,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3158,10026,10026,0.0000167298,0.0025774674,0.0345614727,0.0000077458,0.0000082996,0.0072153454,0.0011769711,0.0000117562,0.0000137084,0.0000125891,0.0000042415,0.0000079306,0.0005985216,0.0082275621,0.0103361350,0.0000218636,0.0000170164,0.0000236745,0.0000052923,0.0000136839,0.0044878785,0.3225984850,0.1007413858,0.0000130291,0.0011864208,0.0088012143,0.3148078995,0.1013067696,0.0000071674,0.0000391935,0.0705237703,0.0106000983,0.0000098565,0.0000103611,0.0000084632,,,
10007792,University of Exeter,C,23,Education,,,,D,Lesson study practices in the development of secondary teaching of students with moderate learning difficulties: A systematic qualitative analysis in relation to context and outcomes,,,British Educational Research Journal,41,4,629,,,0141-1926,,November,2014,,1,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3167,10027,10027,0.0033623549,0.0016118632,0.3168091368,0.0000088628,0.0000094964,0.0000092353,0.0037983842,0.0000134515,0.0000156853,0.0004601661,0.0000048532,0.0000090742,0.0000161882,0.0000530133,0.0000139615,0.0000250165,0.0113863931,0.0011414926,0.0000060555,0.0000156572,0.0000087887,0.0000277749,0.1509296212,0.0104903074,0.0000202222,0.0000407460,0.0000289901,0.0000175645,0.0329945653,0.3501906449,0.0000107092,0.0711920964,0.0229680044,0.0194024883,0.0029071345,,,
10007163,The University of Warwick,C,23,Education,,,,D,Free schools and disadvantaged intakes,,Wiley,British Educational Research Journal,41,4,535,,,0141-1926,,March,2015,,0,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3168,10028,10028,0.0000232394,0.0008745159,0.0198685682,0.0000107597,0.0000115290,0.0000112120,0.0000114240,0.0000163305,0.0000190424,0.0000174875,0.0000058919,0.0000110163,0.0000196530,0.0003349445,0.0295106665,0.0270888266,0.0000236375,0.0000328862,0.0000073515,0.0000190083,0.0000106698,0.1564315939,0.6505329791,0.0000180987,0.0000245505,0.1044951062,0.0000351950,0.0000213239,0.0000099563,0.0000544438,0.0000130013,0.0103952499,0.0000136917,0.0000143927,0.0000117562,,,
10007794,University of Glasgow,C,23,Education,,,,D,"Transnational connections, competences and identities: experiences of Chinese international students after their return 'home'",,,British Educational Research Journal,41,6,947,,,0141-1926,,December,2015,http://eprints.gla.ac.uk/103748/,1,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3175,10029,10029,0.0000161783,0.0051296811,0.0294663938,0.0572719549,0.0000080260,0.0000078053,0.0000079529,0.0005764785,0.1859343960,0.0000121741,0.0001924716,0.0248725024,0.0052880402,0.1254991907,0.0000117997,0.0000211429,0.0391974048,0.0128320506,0.0003818577,0.0000132328,0.0000074279,0.0618088174,0.0013517982,0.0002009695,0.0045379698,0.0000344369,0.1006140540,0.0386306843,0.0000069312,0.0000379015,0.0000090510,0.3058031185,0.0001979016,0.0000100196,0.0000081842,,,
10007806,University of Sussex,C,23,Education,,,,D,Family structure instability and the educational persistence of young people in England,,,British Educational Research Journal,41,5,749,,,0141-1926,,March,2015,https://doi.org/10.1002/berj.3179,1,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3179,10030,10030,0.0000197953,0.0000534608,0.0300615952,0.0000091651,0.0002403040,0.0000095504,0.0000097309,0.0000139103,0.0016296059,0.0000148958,0.0000050187,0.0000093837,0.0000167404,0.0302481809,0.0000144378,0.0869182088,0.0039383566,0.0000280124,0.0000062620,0.0000161913,0.0000090885,0.5790036707,0.0505165540,0.0000154165,0.2000807270,0.0002726195,0.0000299790,0.0092375100,0.0000084807,0.0000463752,0.0009330092,0.0065498270,0.0000116626,0.0000122597,0.0000100139,,,
10007784,University College London,C,23,Education,,,,D,Reading for pleasure and progress in vocabulary and mathematics,,,British Educational Research Journal,41,6,971,,,0141-1926,,,2015,,1,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3180,10031,10031,0.0000195342,0.0018723010,0.0148812245,0.0000090442,0.0000096908,0.0000094244,0.0373102850,0.0070644656,0.0000160063,0.0341311771,0.0000049525,0.0000092599,0.0000165196,0.0753377929,0.0002416905,0.1039670643,0.0000198688,0.0000276429,0.0000061794,0.0000159777,0.0000089687,0.4460444301,0.0473482795,0.0000152131,0.0000206362,0.0000415800,0.0000295836,0.0093430947,0.0100158690,0.0011829793,0.0000109284,0.0048713213,0.0000115087,0.0000120979,0.2060734078,,,
10007784,University College London,C,23,Education,,,,D,Are free schools socially selective? A quantitative analysis,,,British Educational Research Journal,41,6,907,,,0141-1926,,June,2015,,2,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3190,10032,10032,0.0023762011,0.0073834068,0.0053425485,0.0000103995,0.0000111431,0.0002723633,0.0000110415,0.0000157838,0.0005414582,0.0000169021,0.0000056947,0.0000106476,0.0000189952,0.0337991406,0.0300919447,0.0002908808,0.0000228462,0.0000317853,0.0000071054,0.0000183720,0.0000103126,0.2288683912,0.6232640627,0.0000174929,0.0000237286,0.0526146634,0.0000340168,0.0000206101,0.0000096230,0.0000526212,0.0000125661,0.0147547440,0.0000132334,0.0000139109,0.0000113626,,,
10007850,The University of Bath,C,23,Education,,,,D,"Framing the geographies of higher education participation : schools, place and national identity",,,British Educational Research Journal,42,1,74,,,0141-1926,,June,2015,,1,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3196,10033,10033,0.0019045175,0.0042408746,0.0000897804,0.0000083352,0.0000089311,0.0000086856,0.0000088498,0.0000126507,0.0000147515,0.0000135470,0.0000045643,0.0044104015,0.0000152246,0.4081658612,0.0004323559,0.0000235272,0.0000183112,0.0157464313,0.0000056950,0.0000147251,0.0000082656,0.0235027483,0.1662598559,0.0000140205,0.0876371435,0.0000383204,0.1369043832,0.0297815279,0.0000077128,0.0000421758,0.0008485227,0.1197764400,0.0000106065,0.0000111495,0.0000091071,,,
10007154,"University of Nottingham, The",C,23,Education,,,,D,"Marginal groups in marginal times: Gypsy and Traveller parents and home education in England, UK",,,British Educational Research Journal,42,1,5,,,0141-1926,,July,2015,,1,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3198,10034,10034,0.0000201011,0.0094160432,0.0003342885,0.0000093067,0.0000099721,0.0000096979,0.0002439252,0.0000141252,0.0000164709,0.0000151259,0.0000050962,0.0000095287,0.0000169990,0.0382048268,0.2710375149,0.1488781997,0.0000204454,0.0000284451,0.0000063587,0.0000164414,0.0000092289,0.0030717369,0.0873396411,0.0000156546,0.0828727812,0.1367244334,0.0049453643,0.0070397617,0.0000086117,0.0002811354,0.0000112456,0.2093330323,0.0000118427,0.0000124490,0.0000101686,,,
10007158,University of Southampton,C,23,Education,,,,D,"Marginal groups in marginal times: Gypsy and Traveller parents and home education in England, UK",,,British Educational Research Journal,42,1,5,,,0141-1926,,July,2015,,1,,,,,,,,Out of scope for open access requirements,,,,,,https://doi.org/10.1002/berj.3198,10035,10035,0.0000201011,0.0016925940,0.0024406838,0.0000093067,0.0000099721,0.0000096979,0.0000098812,0.0000141252,0.0000164709,0.0000151259,0.0000050962,0.0000095287,0.0000169990,0.0412473977,0.2909312477,0.1488781997,0.0000204454,0.0000284451,0.0000063587,0.0002504853,0.0000092289,0.0000291660,0.0770417088,0.0000156546,0.0742131563,0.1301712037,0.0000304421,0.0084440252,0.0000086117,0.0073024529,0.0000112456,0.2170564815,0.0000118427,0.0000124490,0.0000101686,,,
